id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,FLORISTERIA CELESTINA WEB,Sector Medio,4.1521,-73.6362,3.8,6000,4000,10000,19
2,el momento,Sector Medio,4.1455,-73.6365,3.8,6000,4000,10000,19
3,CEIBA,Sector Medio,4.1485,-73.6305,3.8,6000,4000,10000,19
4,CEDRITOS,Sector Medio,4.1502,-73.632,3.8,6000,4000,10000,19
5,BOSQUE BAJO,Sector Medio,4.149,-73.6315,3.8,6000,4000,10000,19
6,SAUCES,Sector Medio,4.1515,-73.6335,3.8,6000,4000,10000,19
7,ROSALES,Sector Medio,4.1495,-73.6295,3.8,6000,4000,10000,19
8,CONJUNTO LLANO GRANDE,Sector Medio,4.1465,-73.6321,3.8,6000,4000,10000,19
9,COJUNTO SANTA LUCIA,Sector Medio,4.1482,-73.6275,3.8,6000,4000,10000,19
10,COJUNTO BARCELONA,Sector Medio,4.147,-73.626,3.8,6000,4000,10000,19
11,CONDOMINIO ROSALES,Sector Medio,4.1495,-73.6295,3.8,6000,4000,10000,19
12,MACARENA,Sector Medio,4.1501,-73.6376,3.8,6000,4000,10000,19
13,DOS MIL BAJO,Sector Medio,4.1455,-73.637,3.8,6000,4000,10000,19
14,DOS MIL ALTO,Sector Medio,4.1448,-73.6385,3.8,6000,4000,10000,19
15,BAMBU,Sector Medio,4.147,-73.6294,3.8,6000,4000,10000,19
16,SANTA HELENA,Sector Medio,4.151,-73.63,3.8,6000,4000,10000,19
17,JORDAN,Sector Medio,4.154,-73.627,3.8,6000,4000,10000,19
18,JORDAN PARAISO,Sector Medio,4.1548,-73.6265,3.8,6000,4000,10000,19
19,JORDAN ALTO,Sector Medio,4.1555,-73.6258,3.8,6000,4000,10000,19
20,SAN LUIS,Sector Medio,4.1465,-73.6325,3.8,6000,4000,10000,19
21,TRANSITO Y ACUEDUCTO,Sector Medio,4.1472,-73.6328,3.8,6000,4000,10000,19
22,MADRIGAL,Sector Medio,4.1505,-73.6285,3.8,6000,4000,10000,19
23,VILLA FABIOLA,Sector Medio,4.1467,-73.6319,3.8,6000,4000,10000,19
24,CAMINO REAL,Sector Medio,4.153,-73.625,3.8,6000,4000,10000,19
25,VILLA CRISTINA,Sector Medio,4.1456,-73.6368,3.8,6000,4000,10000,19
26,CASTILLA,Sector Medio,4.1498,-73.6265,3.8,6000,4000,10000,19
27,VAINILLA,Sector Medio,4.1452,-73.6376,3.8,6000,4000,10000,19
28,CARCEL,Sector Medio,4.1446,-73.6291,3.8,6000,4000,10000,19
29,RECREO,Sector Medio,4.148,-73.629,3.8,6000,4000,10000,19
30,SEIS DE ABRIL,Sector Medio,4.1525,-73.6382,3.8,6000,4000,10000,19
31,OLIMPICA,Sector Medio,4.1505,-73.632,3.8,6000,4000,10000,19
32,MANANTIAL,Sector Medio,4.1533,-73.6323,3.8,6000,4000,10000,19
33,HIERBABUENA,Sector Medio,4.1533,-73.6389,3.8,6000,4000,10000,19
34,COFREN CATAMA,Sector Medio,4.147,-73.608,3.8,6000,4000,10000,19
35,PUESTO DE SALUD RECREO,Sector Medio,4.148,-73.629,3.8,6000,4000,10000,19
36,ALCALA,Sector Medio,4.1448,-73.6378,3.8,6000,4000,10000,19
37,Página 848,Conjuntos Sector Medio,4.1492,-73.6379,3.8,6000,4000,10000,19
38,FLORENCIA,Conjuntos Sector Medio,4.1496,-73.6351,3.8,6000,4000,10000,19
39,DESMONTADORA,Conjuntos Sector Medio,4.1476,-73.6307,3.8,6000,4000,10000,19
40,"CONJUNTO CAMINO REAL (1,2,3,4)",Conjuntos Sector Medio,4.153,-73.625,3.8,6000,4000,10000,19
41,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Medio,4.1521,-73.6374,3.8,6000,4000,10000,19
42,CONJUNTO TULIPANES,Conjuntos Sector Medio,4.1448,-73.6377,3.8,6000,4000,10000,19
43,CONJUNTO GIRASOLES,Conjuntos Sector Medio,4.1506,-73.6293,3.8,6000,4000,10000,19
