id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,CRISPY CONOS WEB,Sector Minima,4.1473,-73.6352,1.7,6000,1000,7000,14
2,momento,Sector Minima,4.1461,-73.6389,1.7,6000,1000,7000,14
3,CEIBA,Sector Minima,4.1485,-73.6305,1.7,6000,1000,7000,14
4,CEDRITOS,Sector Minima,4.1502,-73.632,1.7,6000,1000,7000,14
5,BOSQUE BAJO,Sector Minima,4.149,-73.6315,1.7,6000,1000,7000,14
6,SAUCES,Sector Minima,4.1515,-73.6335,1.7,6000,1000,7000,14
7,ROSALES,Sector Minima,4.1495,-73.6295,1.7,6000,1000,7000,14
8,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,1.7,6000,1000,7000,14
9,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,1.7,6000,1000,7000,14
10,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,1.7,6000,1000,7000,14
11,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,1.7,6000,1000,7000,14
12,POPULAR,Sector Minima,4.146,-73.635,1.7,6000,1000,7000,14
13,DOS MIL BAJO,Sector Minima,4.1455,-73.637,1.7,6000,1000,7000,14
14,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,1.7,6000,1000,7000,14
15,BAMBU,Sector Minima,4.147,-73.6294,1.7,6000,1000,7000,14
16,SANTA HELENA,Sector Minima,4.151,-73.63,1.7,6000,1000,7000,14
17,JORDAN,Sector Minima,4.154,-73.627,1.7,6000,1000,7000,14
18,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,1.7,6000,1000,7000,14
19,JORDAN ALTO,Sector Minima,4.1555,-73.6258,1.7,6000,1000,7000,14
20,SAN LUIS,Sector Minima,4.1465,-73.6325,1.7,6000,1000,7000,14
21,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,1.7,6000,1000,7000,14
22,MADRIGAL,Sector Minima,4.1505,-73.6285,1.7,6000,1000,7000,14
23,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,1.7,6000,1000,7000,14
24,CAMINO REAL,Sector Minima,4.153,-73.625,1.7,6000,1000,7000,14
25,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,1.7,6000,1000,7000,14
26,CASTILLA,Sector Minima,4.1498,-73.6265,1.7,6000,1000,7000,14
27,VAINILLA,Sector Minima,4.1452,-73.6376,1.7,6000,1000,7000,14
28,CARCEL,Sector Minima,4.1446,-73.6291,1.7,6000,1000,7000,14
29,RECREO,Sector Minima,4.148,-73.629,1.7,6000,1000,7000,14
30,SEIS DE ABRIL,Sector Minima,4.1525,-73.6382,1.7,6000,1000,7000,14
31,OLIMPICA,Sector Minima,4.1505,-73.632,1.7,6000,1000,7000,14
32,MANANTIAL,Sector Minima,4.1533,-73.6323,1.7,6000,1000,7000,14
33,HIERBABUENA,Sector Minima,4.1533,-73.6389,1.7,6000,1000,7000,14
34,COFREN CATAMA,Sector Minima,4.147,-73.608,1.7,6000,1000,7000,14
35,PUESTO DE SALUD RECREO,Sector Minima,4.148,-73.629,1.7,6000,1000,7000,14
36,ALCALA,Sector Minima,4.1448,-73.6378,1.7,6000,1000,7000,14
37,Página 303,Conjuntos Sector Cerca,4.1531,-73.636,1.7,6000,1000,7000,14
38,FLORENCIA,Conjuntos Sector Cerca,4.1496,-73.6351,1.7,6000,1000,7000,14
39,DESMONTADORA,Conjuntos Sector Cerca,4.1476,-73.6307,1.7,6000,1000,7000,14
