id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,FLORISTERIA MAO WEB,Sector Medio,4.1474,-73.6322,3.8,6000,4000,10000,19
2,CEIBA,Sector Medio,4.1485,-73.6305,3.8,6000,4000,10000,19
3,CEDRITOS,Sector Medio,4.1502,-73.632,3.8,6000,4000,10000,19
4,BOSQUE BAJO,Sector Medio,4.149,-73.6315,3.8,6000,4000,10000,19
5,SAUCES,Sector Medio,4.1515,-73.6335,3.8,6000,4000,10000,19
6,ROSALES,Sector Medio,4.1495,-73.6295,3.8,6000,4000,10000,19
7,CONJUNTO LLANO GRANDE,Sector Medio,4.1465,-73.6321,3.8,6000,4000,10000,19
8,COJUNTO SANTA LUCIA,Sector Medio,4.1482,-73.6275,3.8,6000,4000,10000,19
9,COJUNTO BARCELONA,Sector Medio,4.147,-73.626,3.8,6000,4000,10000,19
10,CONDOMINIO ROSALES,Sector Medio,4.1495,-73.6295,3.8,6000,4000,10000,19
11,MACARENA,Sector Medio,4.1501,-73.6376,3.8,6000,4000,10000,19
12,DOS MIL BAJO,Sector Medio,4.1455,-73.637,3.8,6000,4000,10000,19
13,DOS MIL ALTO,Sector Medio,4.1448,-73.6385,3.8,6000,4000,10000,19
14,BAMBU,Sector Medio,4.147,-73.6294,3.8,6000,4000,10000,19
15,SANTA HELENA,Sector Medio,4.151,-73.63,3.8,6000,4000,10000,19
16,JORDAN,Sector Medio,4.154,-73.627,3.8,6000,4000,10000,19
17,JORDAN PARAISO,Sector Medio,4.1548,-73.6265,3.8,6000,4000,10000,19
18,JORDAN ALTO,Sector Medio,4.1555,-73.6258,3.8,6000,4000,10000,19
19,SAN LUIS,Sector Medio,4.1465,-73.6325,3.8,6000,4000,10000,19
20,TRANSITO Y ACUEDUCTO,Sector Medio,4.1472,-73.6328,3.8,6000,4000,10000,19
21,MADRIGAL,Sector Medio,4.1505,-73.6285,3.8,6000,4000,10000,19
22,VILLA FABIOLA,Sector Medio,4.1467,-73.6319,3.8,6000,4000,10000,19
23,CAMINO REAL,Sector Medio,4.153,-73.625,3.8,6000,4000,10000,19
24,VILLA CRISTINA,Sector Medio,4.1456,-73.6368,3.8,6000,4000,10000,19
25,CASTILLA,Sector Medio,4.1498,-73.6265,3.8,6000,4000,10000,19
26,VAINILLA,Sector Medio,4.1452,-73.6376,3.8,6000,4000,10000,19
27,CARCEL,Sector Medio,4.1446,-73.6291,3.8,6000,4000,10000,19
28,RECREO,Sector Medio,4.148,-73.629,3.8,6000,4000,10000,19
29,SEIS DE ABRIL,Sector Medio,4.1525,-73.6382,3.8,6000,4000,10000,19
30,OLIMPICA,Sector Medio,4.1505,-73.632,3.8,6000,4000,10000,19
31,MANANTIAL,Sector Medio,4.1533,-73.6323,3.8,6000,4000,10000,19
32,HIERBABUENA,Sector Medio,4.1533,-73.6389,3.8,6000,4000,10000,19
33,COFREN CATAMA,Sector Medio,4.147,-73.608,3.8,6000,4000,10000,19
34,PUESTO DE SALUD RECREO,Sector Medio,4.148,-73.629,3.8,6000,4000,10000,19
35,ALCALA,Sector Medio,4.1448,-73.6378,3.8,6000,4000,10000,19
36,FLORENCIA,Sector Medio,4.1496,-73.6351,3.8,6000,4000,10000,19
37,Página 759,Conjuntos Sector Medio,4.1484,-73.6298,3.8,6000,4000,10000,19
38,DESMONTADORA,Conjuntos Sector Medio,4.1476,-73.6307,3.8,6000,4000,10000,19
39,"CONJUNTO CAMINO REAL (1,2,3,4)",Conjuntos Sector Medio,4.153,-73.625,3.8,6000,4000,10000,19
40,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Medio,4.1521,-73.6374,3.8,6000,4000,10000,19
41,CONJUNTO TULIPANES,Conjuntos Sector Medio,4.1448,-73.6377,3.8,6000,4000,10000,19
42,CONJUNTO GIRASOLES,Conjuntos Sector Medio,4.1506,-73.6293,3.8,6000,4000,10000,19
43,CONJUNTO ALMERIA,Conjuntos Sector Medio,4.1449,-73.6324,3.8,6000,4000,10000,19
44,CONDOMINIO CRISTALES,Conjuntos Sector Medio,4.1486,-73.6371,3.8,6000,4000,10000,19
45,CONJUNTO PALAMA REAL,Conjuntos Sector Medio,4.1531,-73.6379,3.8,6000,4000,10000,19
46,ALTOS DE LOMALINDA,Conjuntos Sector Medio,4.1473,-73.6379,3.8,6000,4000,10000,19
47,COJUNTO VILLA KARINA,Conjuntos Sector Medio,4.1524,-73.6334,3.8,6000,4000,10000,19
48,CONJUNTO PRADOS DE CASTILLA,Conjuntos Sector Medio,4.1498,-73.6265,3.8,6000,4000,10000,19
49,EDIFICIO SANFERNANDO PLAZA,Conjuntos Sector Medio,4.1447,-73.6303,3.8,6000,4000,10000,19
50,PRADOS DE HIRBABUENA,Conjuntos Sector Medio,4.1512,-73.637,3.8,6000,4000,10000,19
51,COJUNTO MALIBU,Conjuntos Sector Medio,4.1497,-73.6328,3.8,6000,4000,10000,19
52,BALCONES DE PONTEVEDRA,Conjuntos Sector Medio,4.1451,-73.635,3.8,6000,4000,10000,19
53,ESTERO,Sector Medio,4.143,-73.615,4.5,6000,5000,11000,21
54,MACUNAIMA,Sector Medio,4.142,-73.617,4.5,6000,5000,11000,21
55,PARQUE DE LA MEMORIA,Sector Medio,4.142,-73.63,4.5,6000,5000,11000,21
56,POPULAR,Sector Medio,4.146,-73.635,4.5,6000,5000,11000,21
57,NOGAL,Sector Medio,4.1475,-73.633,4.5,6000,5000,11000,21
58,SAN CRISTOBAL,Sector Medio,4.1448,-73.6379,4.5,6000,5000,11000,21
59,CAMELIAS,Sector Medio,4.1536,-73.6352,4.5,6000,5000,11000,21
60,OLIMPICO BAJO,Sector Medio,4.1487,-73.6379,4.5,6000,5000,11000,21
61,VILLA ORTIX,Sector Medio,4.1493,-73.6305,4.5,6000,5000,11000,21
62,OLIMPICO,Sector Medio,4.148,-73.6292,4.5,6000,5000,11000,21
